job_id;company_name;title;max_salary;pay_period;location;company_id;views;med_salary;min_salary;formatted_work_type;applies;original_listed_time;remote_allowed;job_posting_url;application_type;expiry;closed_time;formatted_experience_level;skills_desc;listed_time;sponsored;work_type;currency;compensation_type;normalized_salary;zip_code;fips;salary_id;industry_id;skill_readable;name;description_company;state;country;city;zip_code_company;address;industry
121605673;;Licensed Acupuncturist;0;NOT SPECIFIED;Maumee, OH;;30;0;0;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/121605673/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;435370;390950;;;;Confidential Company;;;;;;;Unknown Industry
133130219;;Software Engineer;0;NOT SPECIFIED;Los Angeles Metropolitan Area;;10;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/133130219/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
134286190;;Sheet Metal Fabricator;0;NOT SPECIFIED;Mineral Wells, TX;;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/134286190/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;Data Entry Filing Receptionist Duties Customer Service Microsoft Word Microsoft Excel Calls Phone Etiquette Answer Telephone Skills Teamwork Microsoft Office Spreadsheets Appointment Scheduling Multi Tasking Multi-line Phone Office Equipment Customer Satisfaction Organization Skills Confidentiality Telephone Reception ;1,71E+13;0;FULL_TIME;;;;760670;483630;;;;Confidential Company;;;;;;;Unknown Industry
136743465;;Personal Injury Attorney;0;NOT SPECIFIED;Stuart, FL;;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/136743465/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;349940;120850;;;;Confidential Company;;;;;;;Unknown Industry
141969940;PRM-TAIWAN;NPE 2024 Exhibition Event Worker;0;NOT SPECIFIED;Orlando, FL;145607730;20;0;0;Part-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/141969940/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;;;;328010;120950;;;;Confidential Company;;;;;;;Unknown Industry
175485704;GOYT;Software Engineer;0;NOT SPECIFIED;Denver, CO;769870560;2730;0;0;Part-time;490;1,71E+13;;https://www.linkedin.com/jobs/view/175485704/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;;;;802020;80310;;;;Confidential Company;;;;;;;Unknown Industry
196406165;;Loan Coordinator;0;NOT SPECIFIED;New Jersey, United States;;20;0;0;Contract;0;1,71E+13;10;https://www.linkedin.com/jobs/view/196406165/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;CONTRACT;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
227832999;;General Laborer;240;HOURLY;Erie, PA;;30;0;180;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/227832999/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;436800;165010;420490;;;;Confidential Company;;;;;;;Unknown Industry
228003844;Harlingen Country Club;Swim Instructor;0;NOT SPECIFIED;Harlingen, TX;40333040;70;0;0;Contract;0;1,71E+13;;https://www.linkedin.com/jobs/view/228003844/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;CONTRACT;;;;785500;480610;;;;Confidential Company;;;;;;;Unknown Industry
229924287;REquipment Durable Medical Equipment and Assistive Technology Reuse Program, Inc.;Administrative Assistant;0;HOURLY;Woburn, MA;147739180;30;230;0;Part-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/229924287/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;PART_TIME;USD;BASE_SALARY;478400;18010;250170;;;;Confidential Company;;;;;;;Unknown Industry
231010577;Pierce Refrigeration;Service / Construction Technician;0;NOT SPECIFIED;West Bridgewater, MA;64824500;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/231010577/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;23790;250230;;;;Confidential Company;;;;;;;Unknown Industry
243731357;Fidelity National Title / Law Firm;Legal Secretary;0;NOT SPECIFIED;Phoenix, AZ;18323630;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/243731357/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;850030;40130;;;;Confidential Company;;;;;;;Unknown Industry
258868844;ABME;Salesperson;0;NOT SPECIFIED;United States;110081790;40;0;0;Full-time;0;1,71E+13;10;https://www.linkedin.com/jobs/view/258868844/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;;;;;;Confidential Company;;;;;;;Unknown Industry
263583866;Atrium Centers;Registered Nurse;0;NOT SPECIFIED;Grayling, MI;50794350;40;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/263583866/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;;;;497380;260390;;;;Confidential Company;;;;;;;Unknown Industry
